action,n,pred_mean_dP,true_mean_dP,bias,mae,rmse,pearson,spearman
FREE_SHIPPING,2916,0.1412670362296173,0.15975284670781892,-0.018485810478201616,0.07338595927295272,0.08997843115334538,0.38655898806237543,0.34633038826473567
SMALL_DISCOUNT,5440,0.022575244266430244,0.008353463602941176,0.014221780663489069,0.05330765506488768,0.06540511712698466,0.565540938765785,0.5448184227532417
MEDIUM_DISCOUNT,5440,0.03365949189345188,0.03710111470588235,-0.003441622812430473,0.06425757992141476,0.07801855384725476,0.5302039220268888,0.5064426241210698
PAYMENT_METHOD_SWITCH,1536,-0.0011162976637327422,0.04465945638020833,-0.045775754043941075,0.08430760502467614,0.11075807787821826,0.13058159166739386,0.1359794035011287
IMMEDIATE_RETRY,1536,0.02496318339641827,0.01468606315104167,0.0102771202453766,0.038884347688940044,0.04859109590001893,0.2109844582609694,0.15351211488186942
DELAYED_RETRY,1536,0.0805064858965731,0.1196754635416667,-0.039168977645093576,0.07734840576944686,0.09701648125372801,0.20292235262964411,0.2031417952714688
PAYMENT_LINK,5440,-0.0006306798306896406,-0.02134685606617647,0.02071617623548683,0.039101604283243066,0.051342769638502254,0.21549189409082886,0.19521750649644315
HUMAN_ESCALATION,5440,-0.0006306798306896406,0.005551823529411765,-0.006182503360101406,0.03505779818140128,0.041145941803969695,0.25673835854012667,0.22319952603125656
