ablation,n_features,brier,log_loss,pr_auc,oracle_dP_mae,brier_delta_vs_full,dP_mae_delta_vs_full
full,58,0.22770269215106964,0.6476114392280579,0.4710893440852727,0.06681417840105665,0.0,0.0
no_action_history,46,0.22827556729316711,0.6488081812858582,0.46760854949408975,0.07136938507368017,0.0005728751420974731,0.0045552066726235185
no_customer_history,46,0.22809937596321106,0.6484958529472351,0.46859254575286535,0.06566642117285834,0.00039668381214141846,-0.0011477572281983067
no_economic_context,53,0.22755441069602966,0.6473386883735657,0.4726797246779617,0.06519412505769229,-0.00014828145503997803,-0.001620053343364361
no_time_context,56,0.2275218963623047,0.6472095251083374,0.4716032301502748,0.06593638239325292,-0.0001807957887649536,-0.00087779600780373
